Key,Value
mexican_food,251
above_average,251
live_jazz,251
veal_meatballs,250
something_different,250
friday,250
heard,248
hype,248
polenta_fries,248
bean_sauce,248
small_portions,248
chopped_brisket,248
gaslight,247
queso_de,247
corn_flakes,246
understand_why,246
chicago_hot,245
beef,245
quite_tasty,245
cut_fries,244
made,244
green_beans,244
nt_tried,243
sushi_places,243
bottom_line,242
jam,241
visiting,241
always_good,241
sashimi_plate,241
great_pizza,240
pretty_quickly,240
nt_live,240
hanger_steak,240
pretty_damn,239
really_enjoy,239
nt_recommend,239
sunday_morning,239
close_together,238
definitely_return,238
white_sangria,237
pesto_mayo,237
spanish_tapas,236
cheese_sauce,236
great_beer,236
super_fresh,235
dog,235
large_groups,235
really_ca,234
white_wine,234
squid_ink,234
worth,233
fresh_fish,232
scotch_egg,231
pretty_decent,231
rave_reviews,231
another,230
great_wine,230
great_selection,230
sooo_good,229
pretty_small,229
really_cool,229
favorite_part,228
sushi_chef,227
maybe_NUM,227
corned_beef,227
side_note,226
sit_outside,225
great_job,225
star_rating,224
toro,224
being_seated,223
lunch_time,222
looking,221
al_ajillo,221
call_ahead,220
spicy_potatoes,220
NUM_year,220
nt_anything,220
big,219
very_impressed,219
good_job,219
caramelized_onions,219
visit_chicago,219
italian_restaurant,219
communal_tables,218
beehive,218
sour_cream,218
nt_hear,217
wednesday_night,217
definitely_try,216
pretty_darn,216
good_flavor,216
chili_garlic,216
nt_beat,215
boston,215
always_order,215
taste_plate,214
cochon,214
pequod,214
months_ago,214
yum_yum,214
sashimi,213
braised_beef,213
blu,213
los_drowned,213
pork_chop,212
dmk,212
peanut_satay,212
red_sangria,212
disappointed,211
san_francisco,211
star,211
pommes,211
crisp,210
french_onion,210
sweet_shrimp,210
war_sauce,210
la_planxa,210
thing,209
yum,208
sushi_chefs,208
pasta_dishes,208
good_NUM,208
probably,208
pizza_places,207
pineapple_mayo,207
especially_since,207
reservation,206
sashimi_dinner,205
darn_good,205
many_things,205
nt_leave,204
make,204
saturday_morning,204
pretty_cool,203
real_deal,202
rpm,202
good_pizza,202
good_quality,202
side_dishes,202
couple,201
ll_try,201
bbq_joint,201
grilled_octopus,201
ca,200
burgers,200
different_dishes,200
dinner_menu,199
good_deal,199
caprese_salad,198
very_generous,198
great_restaurant,197
favorite_pizza,197
hands,197
worth_trying,197
nt_regret,196
special,196
very_unique,196
very_close,196
pork_ribs,195
star_because,195
sassy_wings,195
bison_burger,195
only_negative,195
drinks,195
nt_matter,195
perfectly_seasoned,195
stopped,195
small,195
absolutely_loved,195
good_meal,194
sauces,194
regular_size,194
iberico,194
smoque_bbq,194
lot,193
cream_cheese,193
waiting_outside,192
very_filling,192
does,192
happy,192
many_places,191
open_table,191
michigan_ave,191
live,191
fresh,191
blood_orange,191
special_occasion,191
turkey_burger,190
its,190
probably_wo,190
favorite_thing,190
once,190
good_beer,190
only_because,190
quality_food,190
whipped_cream,190
order_NUM,190
very_little,190
mama_depandi,190
gambas_al,189
korean_fried,189
lamb_burger,189
finally_made,188
lunch_menu,188
recommend_getting,188
nola,188
personal_favorite,188
awesome_food,188
decided,188
very_knowledgeable,188
bad_experience,188
coming,188
back_home,188
truffle_cream,187
being_able,187
enjoyed,187
only_problem,187
style,186
dive_bar,186
saturday_afternoon,186
black_truffle,186
style_hot,186
ham_hock,185
being,185
chili_cheese,185
find,185
nice_atmosphere,184
hollandaise_sauce,184
try_everything,184
any_day,184
sea_salt,183
tapas_restaurants,183
prix_fixe,183
wide_variety,183
brunch_menu,183
king_crab,183
ai_nt,182
many_good,182
wait_outside,182
good_selection,182
very_rich,182
dmk_burger,182
lunch_specials,182
really_delicious,182
always_busy,182
very_high,182
italian_sausage,182
night_before,182
recent_trip,182
brisket,181
food_coma,181
lou,181
truffle_mayo,181
good_sign,181
eye_french,181
garlic_aioli,181
pretty_busy,180
seating_area,180
baby_buddha,180
favorite_sushi,180
sushi_restaurants,180
really_love,180
bad,179
past,179
open_kitchen,179
wonderful,178
cookie_dough,178
steak_bowl,178
brisket_chili,178
korean_food,178
credit_card,178
overall_experience,178
wasabi_mayo,177
husband,177
paper_cone,177
mushroom_risotto,177
large_party,177
sundried_tomato,177
bi_bim,177
dates_wrapped,177
small_portion,176
hash_browns,176
NUM_tapas,176
NUM_burger,176
de_pollo,176
recent_visit,176
early_dinner,176
why,175
good_sushi,175
dinner_time,175
soooo_good,175
drink_menu,175
breakfast_food,174
wait_times,174
order,174
little_disappointed,174
visited,174
very_sweet,174
half_hour,174
good_idea,174
another_try,174
work,174
great_bbq,173
number_NUM,173
eating,173
creme_brulee,173
dark_chocolate,173
ll_find,173
cheese_curds,173
anything_special,172
poached_egg,172
side_dish,172
good_wine,172
area,172
quite,172
party,171
green_tea,171
pasta_dish,171
brisket_platter,171
NUM_orders,171
boyfriend,171
absolute_favorite,170
skirt_steak,170
save_room,170
extremely_friendly,170
NUM_plates,170
beef_sandwiches,170
NUM_cent,170
NUM_slices,170
downtown_chicago,170
bbq_beans,170
nt_already,170
vegetarian,170
everyone,170
recently,170
mahi_mahi,170
huge,169
bit,169
millennium_park,169
smoked_pork,169
min_wait,169
cajun_fried,168
very_disappointed,168
sauce,168
many_great,168
nt_disappoint,168
very_accommodating,168
great_value,168
vegan,168
dessert_menu,168
honey_mustard,167
year,167
diner_food,167
texas_sausage,167
cast_iron,167
dogs,167
communal_table,166
iron_chef,166
any,166
very_reasonably,166
walking_distance,166
gets_packed,166
good_value,166
duck_prosciutto,166
great_drinks,166
really_made,166
multiple_times,165
oyster_roast,165
stephanie_izard,165
chip_cookie,165
eaten,165
good_reviews,165
blue_jam,165
burger_joint,165
pork_shank,164
thoroughly_enjoyed,164
tasted_great,164
vanilla_ice,164
super,164
fine_dining,164
mexican_ketchup,164
dining,164
great_location,164
small_dishes,163
fun,163
nt_enjoy,163
sausage_pizza,163
thick_cut,163
food_quality,163
front_door,162
perfect,162
lobster_ravioli,162
waiting_area,162
during_restaurant,162
pretty_awesome,162
start,162
